NumIterations,Accuracy
0.01,72.65
0.02,72.43
0.03,72.27
0.04,72.3125
0.05,72.248
0.1,72.18333333333334
0.2,72.14142857142858
0.3,72.21
0.4,72.2
0.5,72.199
1,72.227
